Country Name,Country Code,Series Name,Series Code,Series_type,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
China,CHN,"Gross PSD, General Gov.-D4, All maturities, D3+insurance, pensions, and standardized guarantees, Nominal Value, US$",DP.DOD.DLD4.CR.GG.CD,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, General Gov.-D4, All maturities, D3+insurance, pensions, and standardized guarantees, Nominal Value, % of GDP",DP.DOD.DLD4.CR.GG.Z1,General Gov,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt Securities, Market value, % of GDP",DP.DOD.DLDS.CR.MV.NF.Z1,Nonfinancial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt Securities, Market value, National Currency",DP.DOD.DLDS.CR.MV.NF,Nonfinancial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt Securities, Market value, US$",DP.DOD.DLDS.CR.MV.NF.CD,Nonfinancial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.NF.Z1,Nonfinancial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.NF,Nonfinancial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.NF.CD,Nonfinancial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.M1.NF.Z1,Nonfinancial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.M1.NF,Nonfinancial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.M1.NF.CD,Nonfinancial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.L1.NF.Z1,Nonfinancial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.L1.NF,Nonfinancial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.L1.NF.CD,Nonfinancial Public Corp,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Public Sector, All maturities, Debt Securities, Market value, National Currency",DP.DOD.DLDS.CR.MV.PS,Public Sector,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Public Sector, All maturities, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.PS,Public Sector,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Public Sector, Long-term, With payment due in one year or less, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.L1.PS,Public Sector,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Public Sector, Short-term, Debt securities, Nominal Value, National Currency",DP.DOD.DSDS.CR.PS,Public Sector,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Total, All maturities, Debt Securities, Market value, US$",DP.DOD.DLDS.CR.MV.PS.CD,Total,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Total, All maturities, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.PS.CD,Total,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Total, Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.M1.PS.CD,Total,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Total, Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.L1.PS.CD,Total,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$",DP.DOD.DSDS.CR.PS.CD,Total,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"Gross PSD, Budgetary Central Gov., All maturities, Debt Securities, Market value, % of GDP",DP.DOD.DLDS.CR.MV.BC.Z1,Budgetary Central Gov,..,..,..,..,..,..,..,..,..,..,..,..
