Country Name,Country Code,Series Name,Series Code,Series_type,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Germany,DEU,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,"Government expenditure per student, tertiary",..,..,..
Germany,DEU,Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,Gross national expenditure deflator,112.0046893,120.3771064,125.9627584
Germany,DEU,Gross national expenditure (current US$),NE.DAB.TOTL.CD,Gross national expenditure,4.12E+12,4.06E+12,4.34E+12
Germany,DEU,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,Gross national expenditure,3.49E+12,3.86E+12,4.02E+12
Germany,DEU,Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Gross national expenditure,3.11E+12,3.20E+12,3.19E+12
Germany,DEU,Gross national expenditure (constant 2015 US$),NE.DAB.TOTL.KD,Gross national expenditure,3.45E+12,3.55E+12,3.54E+12
Germany,DEU,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Gross national expenditure,94.84145074,97.50309192,95.99440934
Germany,DEU,Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN,Households and NPISHs Final consumption expenditure,1.79E+12,1.98E+12,2.09E+12
Germany,DEU,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Households and NPISHs Final consumption expenditure,1.64E+12,1.71E+12,1.69E+12
Germany,DEU,Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD,Households and NPISHs Final consumption expenditure,1.82E+12,1.89E+12,1.88E+12
Germany,DEU,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Households and NPISHs Final consumption expenditure,2.11E+12,2.08E+12,2.26E+12
Germany,DEU,Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,Households and NPISHs Final consumption expenditure,1.497273057,3.917546101,-0.723888823
